project,fault,runtime
Closure,700064,63631
Closure,700065,61341
Closure,700066,64110
Closure,800061,2979
Closure,800062,2918
Closure,800063,2841
Closure,800064,3011
Closure,800065,2836
Closure,800066,2934
Closure,800067,3023
Closure,800068,2978
Closure,800069,2830
Closure,800070,2928
Closure,800071,2801
Closure,800072,1370
Closure,800073,2878
Closure,900013,793
Closure,900057,797
Closure,1000477,62727
Closure,1100637,71015
Closure,1100638,1277
Closure,1200020,3440
Closure,1200021,3728
Closure,1200022,3766
Closure,1300036,6467
Closure,1400295,36143
Closure,1500007,3413
Closure,1500008,3516
Closure,1500009,3609
Closure,1600036,4228
Closure,1600038,4280
Closure,1600039,4167
Closure,1600040,4137
Closure,1600207,4062
Closure,1700518,64304
Closure,1700519,62921
Closure,1700520,65966
Closure,1700521,64422
Closure,1700522,67918
Closure,1700523,28583
Closure,1700524,27501
Closure,1700525,61865
Closure,1700526,18052
Closure,1800259,70808
Closure,1800260,62574
Closure,1900023,24051
Closure,2000081,3639
Closure,2000082,3642
Closure,2000083,3692
Closure,2000084,3712
Closure,2000085,3564
Closure,2000086,3489
Closure,2100013,62322
Closure,2100014,65511
Closure,2100015,62124
Closure,2100024,64936
Closure,2100025,60621
Closure,2100026,62754
Closure,2100027,62707
Closure,2100028,62925
Closure,2100029,61555
Closure,2100030,60147
Closure,2100031,71395
Closure,2200013,62487
Closure,2200014,61682
Closure,2200015,60587
Closure,2200017,59226
Closure,2200018,59958
Closure,2200019,60841
Closure,2200020,59130
Closure,2300757,3681
Closure,2300758,3478
Closure,2300759,3527
Closure,2300760,3683
Closure,2300761,3566
Closure,2300762,3570
Closure,2300763,3461
Closure,2400078,1373
Closure,2400079,3684
Closure,2400080,3660
Closure,2400081,3589
Closure,2400082,3558
Closure,2400083,3506
Closure,2400089,3483
Closure,2400090,3502
Closure,2400091,3385
Closure,2400092,3446
Closure,2500549,65147
Closure,2500551,55712
Closure,2500569,36388
Closure,2500571,30080
Closure,2600021,70743
Closure,2600068,65043
Closure,2600069,67115
Closure,2600070,66981
Closure,2600078,65890
Closure,2700016,19810
Closure,2700033,19748
Closure,2800025,6565
Closure,2900028,3188
Closure,2900041,3095
Closure,2900042,6165
Closure,2900043,3131
Closure,2900044,3497
Closure,2900045,3284
Closure,2900046,2159
Closure,2900047,3318
Closure,2900060,3116
Closure,3000004,3395
Closure,3000098,3204
Closure,3000099,3195
Closure,3000101,2064
Closure,3000102,3360
Closure,3000103,3429
Closure,3000114,3316
Closure,3000115,3164
Closure,3000116,3162
Closure,3000143,3359
Closure,3100236,33857
Closure,3100237,61238
Closure,3200568,50911
Closure,3200569,51910
Closure,3200570,46382
Closure,3200571,48639
Closure,3200572,48849
Closure,3200573,49856
Closure,3200574,50316
Closure,3200581,49941
Closure,3200582,49401
Closure,3200583,49356
Closure,3200589,48916
Closure,3200590,44285
Closure,3200591,48127
Closure,3200592,47156
Closure,3200593,49436
Closure,3200594,50618
Closure,3200595,22458
Closure,3200596,51715
Closure,3200597,49216
Closure,3200598,51615
Closure,3200599,49483
Closure,3200600,45684
Closure,3200601,50052
Closure,3200602,14135
Closure,3200603,47743
Closure,3200604,59671
Closure,3200605,49863
Closure,3200606,49171
Closure,3200607,50014
Closure,3200635,49176
Closure,3300231,68723
Closure,3300232,67658
Closure,3300233,35467
Closure,3400052,23095
Closure,3400053,22550
Closure,3400054,22863
Closure,3400055,22551
Closure,3400056,22212
Closure,3400057,23217
Closure,3400058,23281
Closure,3400601,22824
Closure,3400602,23432
Closure,3401068,22806
Closure,3401069,22644
Closure,3401070,23201
Closure,3401071,22866
Closure,3401072,22877
Closure,3401073,22532
Closure,3401074,22990
Closure,3500574,25641
Closure,3500575,58142
Closure,3600284,4258
Closure,3600285,4065
Closure,3700114,60720
Closure,3700115,58986
Closure,3700445,59988
Closure,3700446,64761
Closure,3700447,63601
Closure,3800113,33830
Closure,3800114,34512
Closure,3800115,34511
Closure,3800116,35457
Closure,3800117,35623
Closure,3800118,34320
Closure,3800119,34416
Closure,3800120,34784
Closure,3800121,37173
Closure,3900157,37403
Closure,3900159,37942
Closure,3900160,38061
Closure,3900161,38180
Closure,3900162,36708
Closure,3900163,37009
Closure,3900164,37809
Closure,4000121,5198
Closure,4100185,66629
Closure,4100186,56691
Closure,4100188,63064
Closure,4100190,59083
Closure,4100191,57789
Closure,4200207,36990
Closure,4200208,37329
Closure,4200209,40356
Closure,4300131,52963
Closure,4300132,55910
Closure,4300133,56535
Closure,4300134,68528
Closure,4300135,58057
Closure,4300136,53025
Closure,4300137,52538
Closure,4300138,57192
Closure,4300139,55554
Closure,4300140,57128
Closure,4300141,58586
Closure,4300155,55645
Closure,4300156,56208
Closure,4300158,56926
Closure,4300159,57407
Closure,4300161,55389
Closure,4300162,22674
Closure,4300163,54485
Closure,4300164,55795
Closure,4400061,31631
Closure,4400062,32447
Closure,4400063,32050
Closure,4400064,31209
Closure,4400065,32257
Closure,4400066,31842
Closure,4400067,32180
Closure,4400068,28044
Closure,4400069,31603
Closure,4400070,31649
Closure,4400071,31453
Closure,4500292,1530
Closure,4500300,1656
Closure,4500301,1561
Closure,4500302,1545
Closure,4500303,1599
